emg,ecg,,,,,
-441,478,,0.09,,0.045765197,9
-506,416,,0.112,,0.044269088,11.2
-385,593,,0.126,,0.040222975,12.6
-254,761,,0.07,,0.038644045,7
-79,687,,0.07,,0.043598941,7
104,476,,0.211,,0.051965913,21.1
431,444,,0.06,,0.060264749,6
721,420,,0.029,,0.06935562,2.9
645,424,,0.544,,0.07776076,54.4
501,441,,0.15,,0.076914215,15
308,467,,0.12,,0.06573504,12
129,466,,0.207,,0.053609507,20.7
-80,481,,0.175,,0.048042943,17.5
-376,528,,0.024,,0.04979599,2.4
-665,493,,0.04,,0.053365946,4
-826,504,,0.18,,0.053851071,18
-814,515,,0.14,,0.0511588,14
-767,557,,0.194,,0.046900699,19.4
-739,530,,0.044,,0.043282009,4.4
-580,573,,0.099,,0.039702734,9.9
-282,564,,0.124,,0.036887394,12.4
-83,540,,0.187,,0.03788947,18.7
391,529,,0.0707,,0.0386373,7.07
929,530,,0.037,,0.036129236,3.7
1065,488,,0.125,,0.035723318,12.5
1104,523,,0.051,,0.03961244,5.1
1051,490,,0.098,,0.04336478,9.8
929,494,,0.095,,0.045576817,9.5
689,491,,0.052,,0.04814598,5.2
370,499,,0.247,,0.051797818,24.7
45,520,,0.1957,,0.055573523,19.57
-258,478,,0.31,,0.056964537,31
-623,462,,0.12,,0.055406503,12
-836,527,,0.51,,0.054436329,51
-870,504,,0.046,,0.053724741,4.6
-801,525,,0.053,,0.050513932,5.3
-461,495,,0.07867,,0.048972817,7.867
-128,531,,0.06,,0.053167618,6
52,512,,0.0367,,0.059145734,3.67
172,526,,0.28,,0.063840586,28
379,513,,0.0943,,0.064328047,9.43
526,509,,0.14,,0.055355471,14
577,485,,0.0793,,0.038671999,7.93
473,479,,0.002,,0.022179312,0.2
104,505,,0.0314,,0.016606865,3.14
-108,515,,0.049,,0.025709328,4.9
-266,511,,0,,0.03651996,0
-441,528,,0.013933,,0.037701209,1.3933
-494,674,,0.07,,0.036262064,7
-517,741,,0.04,,0.038480797,4
-323,523,,0.084,,0.041031785,8.4
-257,416,,0.08005,,0.041886047,8.005
-370,450,,0.2462,,0.039922357,24.62
-445,497,,0.04,,0.035392969,4
-376,454,,0.16,,0.032262043,16
-204,498,,0.15,,0.031082876,15
-146,531,,0.31,,0.029531143,31
29,513,,0.09,,0.028594599,9
233,500,,0.042,,0.03055902,4.2
399,534,,0.041,,0.035111939,4.1
686,534,,0.036,,0.039049327,3.6
774,540,,0.063,,0.038544741,6.3
721,562,,0.098,,0.034792336,9.8
546,557,,0.0466,,0.034664983,4.66
155,545,,0.014,,0.038399905,1.4
-272,567,,0.447,,0.042900517,44.7
-517,520,,0.1,,0.050725656,10
-383,535,,0.05,,0.059027141,5
-266,499,,0.051,,0.057530202,5.1
-181,491,,0.045,,0.044457166,4.5
-7,475,,0.036,,0.02969988,3.6
45,508,,0.0033,,0.022703247,0.33
51,502,,0.04,,0.021232027,4
78,495,,0.06,,0.018251228,6
107,515,,0.085,,0.016892957,8.5
-13,510,,0.057,,0.02022712,5.7
-94,496,,0.094,,0.021713742,9.4
-106,492,,0.099,,0.019585504,9.9
-97,511,,0.06,,0.019095557,6
-107,527,,0.048,,0.020956484,4.8
-288,485,,0.066,,0.023618896,6.6
-493,514,,0.087,,0.028058854,8.7
-535,522,,0.006,,0.030217489,0.6
-396,520,,0.159,,0.025265036,15.9
-321,507,,0.088,,0.01821687,8.8
-270,532,,0.048,,0.014403226,4.8
-111,505,,0.129,,0.013503724,12.9
123,501,,0.0717,,0.013641592,7.17
377,487,,0.33,,0.012418829,33
711,511,,0.05,,0.011634019,5
785,524,,0.25,,0.015719037,25
487,486,,0.072,,0.023787813,7.2
253,510,,0.014,,0.031578438,1.4
139,653,,0.05003,,0.036678259,5.003
76,734,,0.03,,0.037469836,3
5,546,,0.0627,,0.031785627,6.27
88,410,,0.12,,0.02416448,12
142,446,,0.107,,0.020992537,10.7
171,446,,0.04,,0.020096516,4
188,507,,0.0767,,0.019116242,7.67
161,498,,0,,0.019571486,0
163,504,,0.019,,0.01986595,1.9
119,505,,0.045,,0.017000393,4.5
133,510,,0,,0.012979395,0
121,526,,0.0448,,0.012869772,4.48
193,526,,0.007,,0.015603467,0.7
139,540,,0.04,,0.016909964,4
-85,510,,0.038,,0.017495983,3.8
-253,548,,0.1114,,0.017305291,11.14
-431,581,,0.1404,,0.015397282,14.04
-441,545,,0.02,,0.013065766,2
-392,525,,0.07,,0.011539072,7
-323,525,,0.16,,0.01016561,16
-207,522,,0.14,,0.008778071,14
-144,509,,0.126705798,,0.008911678,12.67057977
-118,494,,0.782819105,,0.009236468,78.28191053
-12,480,,0.048922586,,0.006222779,4.892258619
73,507,,0.723599765,,0.001064709,72.35997649
69,480,,0.262781749,,-0.000319391,26.27817487
94,509,,0.123512182,,0.002026367,12.35121817
-5,519,,0.43424023,,0.003197813,43.42402298
-193,507,,0.708140548,,0.004390564,70.81405483
-250,490,,0.994281084,,0.007613382,99.42810838
-228,498,,0.746916307,,0.010697969,74.69163073
-312,510,,0.964440581,,0.014549384,96.44405812
-361,521,,0.312857908,,0.018554159,31.28579075
-308,519,,0.489199755,,0.02003608,48.91997546
-221,500,,0.155241258,,0.021857195,15.52412577
-67,513,,0.731092596,,0.024663444,73.10925963
88,513,,0.35547681,,0.023541768,35.54768096
155,518,,0.063344731,,0.01371921,6.33447307
210,507,,0.085710955,,-0.001864941,8.571095516
214,518,,0.809263356,,-0.012958876,80.92633556
147,496,,0.237093479,,-0.016426447,23.70934793
90,479,,0.434024588,,-0.013176066,43.40245883
59,514,,0.138337125,,-0.004714537,13.83371252
6,513,,0.742480939,,0.00214495,74.24809387
-69,493,,0.636967341,,0.005958584,63.69673407
-94,524,,0.327313523,,0.010926726,32.73135229
-86,688,,0.180605812,,0.01386402,18.06058123
-17,730,,0.101970115,,0.008827672,10.19701145
31,513,,0.530987847,,0.000711701,53.09878472
123,403,,0.108305246,,-0.002806939,10.83052464
276,438,,0.91302889,,-0.000970145,91.302889
435,443,,0.594672649,,0.005723734,59.46726493
465,472,,0.554182392,,0.015032309,55.41823924
287,473,,0.68655412,,0.020125076,68.65541198
72,480,,0.389688397,,0.018758356,38.96883973
-214,501,,0.45735837,,0.017807285,45.73583702
-318,473,,0.829486175,,0.01832651,82.94861747
-292,514,,0.145514437,,0.015594549,14.55144374
-294,532,,0.845991651,,0.012619554,84.59916513
-177,519,,0.827121335,,0.010157457,82.71213351
-226,513,,0.01971308,,0.006484141,1.971307957
-291,558,,0.196111123,,0.005938284,19.61111229
-124,542,,0.366775724,,0.007853127,36.67757237
-29,543,,0.694634287,,0.005338961,69.46342866
-54,539,,0.926029615,,-0.000965224,92.60296148
21,519,,0.436270926,,-0.003789694,43.62709263
180,493,,0.546253838,,-0.002034436,54.62538379
392,498,,0.022644392,,-0.001774019,2.264439153
501,506,,0.773940115,,-0.003539652,77.39401147
525,495,,0.462704379,,-0.002800481,46.27043788
485,474,,0.165130128,,0.000578893,16.51301282
370,491,,0.547358005,,0.005782473,54.73580053
186,510,,0.670476195,,0.010065014,67.04761954
-83,506,,0.357780846,,0.010418322,35.77808455
-177,522,,0.037741052,,0.007993901,3.774105178
-298,502,,0.729064883,,0.007339774,72.90648829
-396,495,,0.033936223,,0.014173506,3.39362233
-307,515,,0.562326988,,0.024868606,56.23269877
-260,522,,0.42123168,,0.031088085,42.12316801
-351,478,,0.99640235,,0.033419133,99.64023505
-323,512,,0.78149736,,0.033380648,78.14973604
-295,494,,0.545170322,,0.028836403,54.51703222
-360,536,,0.839340299,,0.021604935,83.93402989
-191,511,,0.573545788,,0.014841048,57.35457882
-6,524,,0.144918216,,0.006758667,14.49182165
168,498,,0.81527489,,-0.00207461,81.52748901
296,513,,0.238414028,,-0.007028453,23.84140279
333,485,,0.30414323,,-0.008002185,30.41432303
416,512,,0.300820023,,-0.007225164,30.08200226
351,511,,0.585821446,,-0.004300889,58.58214462
202,510,,0.360819323,,-0.000238333,36.08193226
86,509,,0.802448537,,-0.000368629,80.24485371
-27,636,,0.296415272,,-0.004559063,29.64152717
-101,768,,0.915645168,,-0.007989639,91.56451681
-73,567,,0.364063056,,-0.011119786,36.40630565
-146,405,,0.231167423,,-0.01310168,23.11674231
-224,431,,0.8519072,,-0.007794946,85.19072005
-125,473,,0.511177444,,0.006758321,51.11774437
-82,471,,0.734895661,,0.023323581,73.48956613
-177,467,,0.636731389,,0.031535869,63.67313891
-230,492,,0.104264826,,0.028846557,10.4264826
-170,485,,0.47150691,,0.018115285,47.150691
-62,511,,0.171592023,,0.006614944,17.15920226
80,512,,0.429505607,,0.00463474,42.95056068
49,522,,0.236793937,,0.008087569,23.67939367
117,509,,0.18646714,,0.004538409,18.64671399
204,561,,0.556847881,,-0.006508574,55.68478809
107,542,,0.586070847,,-0.016624371,58.60708469
-18,546,,0.711846895,,-0.020738979,71.18468951
-246,558,,0.544638569,,-0.021419862,54.46385688
-352,536,,0.236512632,,-0.019761194,23.65126316
-292,515,,0.063611076,,-0.015274928,6.361107587
-250,521,,0.452202492,,-0.014043147,45.22024917
-178,515,,0.570775491,,-0.017840486,57.07754914
29,496,,0.055983595,,-0.021525389,5.5983595
190,508,,0.989112035,,-0.022926945,98.91120354
200,503,,0.898411523,,-0.021783201,89.84115228
277,505,,0.260980497,,-0.01800558,26.0980497
399,528,,0.645963115,,-0.012478158,64.59631146
448,512,,0.798923825,,-0.005080478,79.89238254
475,511,,0.096565105,,0.00595295,9.656510464
240,495,,0.18419051,,0.025095667,18.41905096
-43,501,,0.638090467,,0.048213102,63.8090467
-16,515,,0.034233225,,0.055580222,3.423322544
-119,492,,0.954640851,,0.037986591,95.4640851
-120,497,,0.55453215,,0.009938608,55.45321501
-33,508,,0.762957936,,-0.012805659,76.29579365
-73,521,,0.581233997,,-0.025423423,58.12339973
-21,516,,0.427669003,,-0.027422193,42.76690031
-16,515,,0.968831631,,-0.022393906,96.88316312
8,522,,0.114582962,,-0.017632885,11.45829619
-66,519,,0.708294609,,-0.015042368,70.82946094
-142,506,,0.60429434,,-0.011545951,60.42943403
-178,487,,0.885362316,,-0.007346581,88.53623162
-220,519,,0.382860444,,-0.002593489,38.28604439
-155,494,,0.78488139,,0.002331864,78.48813902
-154,502,,0.562657567,,0.002035997,56.26575674
-126,479,,0.021008825,,-0.002839393,2.100882472
-36,503,,0.248290799,,-0.005714608,24.82907989
-99,628,,0.101442419,,-0.004937591,10.14424195
-156,757,,0.466556933,,-0.002469945,46.65569333
-35,597,,0.442729693,,0.000137659,44.27296928
79,436,,0.21956749,,0.003242859,21.95674898
120,433,,0.079078334,,0.007723426,7.907833438
33,464,,0.026192167,,0.011102266,2.619216724
6,467,,0.631857791,,0.010423267,63.18577906
-18,476,,0.215807377,,0.010851261,21.58073766
-155,496,,0.963114889,,0.018510178,96.31148888
-209,511,,0.667238789,,0.027380676,66.72387888
-180,519,,0.409284889,,0.02789502,40.92848888
-148,497,,0.276074449,,0.022626376,27.60744486
-84,526,,0.647049694,,0.017479375,64.70496939
82,533,,0.80848629,,0.014505981,80.84862904
214,528,,0.926828048,,0.012792387,92.68280479
97,566,,0.349855925,,0.007215042,34.98559246
44,547,,0.835713555,,-0.002377915,83.57135548
204,555,,0.264784792,,-0.009567442,26.47847916
204,561,,0.31320799,,-0.011709008,31.32079899
62,540,,0.311059292,,-0.015629539,31.10592923
-51,510,,0.012361221,,-0.024377409,1.236122068
-49,490,,0.573037021,,-0.030281908,57.30370206
-85,512,,0.349203436,,-0.030872067,34.92034358
-154,511,,0.838692274,,-0.030706645,83.86922735
-94,498,,0.242468241,,-0.029817137,24.24682409
-88,506,,0.939547063,,-0.024556337,93.95470634
-55,487,,0.646942294,,-0.016375382,64.69422943
5,499,,0.776078294,,-0.011276218,77.60782938
-14,504,,0.386806782,,-0.008377907,38.68067818
-60,510,,0.838688846,,-0.000920477,83.86888456
-41,507,,0.827506421,,0.013792133,82.7506421
-17,495,,0.327046098,,0.034390726,32.70460977
74,502,,0.896002442,,0.054883667,89.60024422
249,513,,0.020541192,,0.063345911,2.054119175
247,508,,0.366495081,,0.051892779,36.64950806
226,504,,0.576589996,,0.028065052,57.65899958
135,505,,0.484775133,,0.006899221,48.47751328
41,505,,0.213822405,,-0.007860037,21.38224048
18,507,,0.000552922,,-0.019606135,0.055292177
13,527,,0.300522516,,-0.025986556,30.05225157
43,515,,0.202693565,,-0.02629954,20.26935649
-82,489,,0.21961171,,-0.025258329,21.96117105
-132,495,,0.582899068,,-0.021618196,58.28990682
-47,501,,0.391993385,,-0.014435928,39.1993385
-87,506,,0.565395084,,-0.009146884,56.53950837
-131,491,,0.588544031,,-0.006160013,58.85440313
-100,494,,0.745566946,,-0.003255007,74.55669463
-84,608,,0.682564209,,-0.000663798,68.25642092
-47,751,,0.141844547,,0.002144562,14.18445473
-87,597,,0.097648121,,0.004757704,9.764812083
-101,420,,0.767502389,,0.007053319,76.75023888
-73,408,,0.23507521,,0.009751654,23.507521
-67,455,,0.695221159,,0.010566561,69.52211592
-59,468,,0.63284504,,0.009191952,63.284504
-128,475,,0.588336255,,0.008591206,58.83362547
-148,469,,0.491999903,,0.009087999,49.19999034
-168,471,,0.829241156,,0.008276874,82.9241156
-221,525,,0.752193831,,0.00567619,75.21938311
-148,498,,0.323575391,,0.003317859,32.35753912
-98,503,,0.66964054,,-6.80E-05,66.964054
-79,516,,0.151836408,,-0.005468764,15.1836408
100,528,,0.530570966,,-0.008696727,53.05709656
334,543,,0.402218362,,-0.008905491,40.22183624
554,530,,0.109014021,,-0.009130046,10.90140207
498,552,,0.553061382,,-0.009895723,55.3061382
342,536,,0.578892575,,-0.011654642,57.88925754
296,511,,0.249573702,,-0.014225742,24.95737024
123,481,,0.504785801,,-0.012702084,50.47858013
10,487,,0.60729419,,-0.008090158,60.72941904
-92,508,,0.270326823,,-0.006635201,27.03268234
-116,500,,0.461196949,,-0.007742136,46.11969492
-23,495,,0.613068817,,-0.006367464,61.30688171
20,479,,0.821765398,,0.001525722,82.17653979
22,492,,0.849716354,,0.010824089,84.97163539
-37,473,,0.489684895,,0.01648781,48.9684895
-63,503,,0.923942566,,0.019812419,92.39425665
-104,504,,0.22763834,,0.016954578,22.76383395
-227,494,,0.934409523,,0.006237852,93.44095231
-303,488,,0.379387939,,-0.004370914,37.93879385
-285,496,,0.208678422,,-0.007618548,20.86784219
-298,504,,0.425185176,,-0.00730822,42.51851756
-236,522,,0.50545074,,-0.010777035,50.54507403
-145,492,,0.33385848,,-0.015842956,33.385848
-54,531,,0.429970639,,-0.015895975,42.99706395
129,528,,0.728350807,,-0.011217657,72.83508072
220,512,,0.546921001,,-0.006490968,54.69210006
210,492,,0.901832823,,-0.003319218,90.1832823
147,510,,0.067622404,,-0.002759091,6.762240425
145,501,,0.39305627,,-0.005582972,39.30562701
127,499,,0.321540274,,-0.008048104,32.15402744
-19,514,,0.813662698,,-0.005738951,81.36626983
-110,504,,0.117927246,,0.003042166,11.79272458
-83,478,,0.183525876,,0.014740417,18.35258759
-107,574,,0.908366047,,0.021017599,90.83660473
-56,750,,0.712094979,,0.019584242,71.20949791
-1,634,,0.613279636,,0.018839728,61.32796363
-53,451,,0.275507436,,0.024112169,27.55074364
20,423,,0.64895284,,0.027512011,64.895284
90,464,,0.448913951,,0.023906003,44.89139512
137,488,,0.983294579,,0.018111162,98.32945787
98,496,,0.549976375,,0.012996947,54.99763745
67,504,,0.765709544,,0.008806565,76.57095436
85,507,,0.287401788,,0.006326337,28.74017876
-18,503,,0.497469463,,0.00475285,49.74694626
-102,521,,0.880767203,,0.003048261,88.07672032
-229,519,,0.23399346,,0.002301721,23.39934603
-294,538,,0.515955399,,0.003306704,51.59553992
-258,556,,0.434385871,,0.004247005,43.43858708
-163,574,,0.098079226,,0.002145503,9.807922586
